NICE;43.42;7.16;
MARSEILLE;43.18;5.22;
CAEN;49.11;-0.62;
BREST;48.4;-4.48;
TOULOUSE;43.37;1.27;
BORDEAUX;44.50;-0.74;
RENNES;48.06;-1.8;
GRENOBLE;45.11;5.43;
NANTES;47.14;-1.75;
ANGERS;47.29;-0.72;
NANCY;48.42;6.12;
METZ;49.07;6.11;
LILLE;50.39;3.05;
BIARRITZ;43.48;-1.56;
PERPIGNAN;42.42;2.54;
STRASBOURG;48.35;7.45;
LYON;45.46;4.50;
LE-MANS;48.00;0.12;
PARIS;48.52;2.20;
ROUEN;49.26;1.05;
